Flight,Destination,Links,dep_sch_time,dep_act_time,arr_sch_time,arr_act_time,flight_name2,dest_name2
MS 194,Munich,https://www.flightstats.com/v2/flight-tracker/MS/194?year=2021&month=9&date=16&flightId=1070752336,07:30 EET,07:35 EET,08:30 EET,08:35 EET,EgyptAir,MUC
EY 4957,ASW,https://www.flightstats.com/v2/flight-tracker/EY/4957?year=2021&month=9&date=16&flightId=1070752336,07:30 EET,07:35 EET,08:30 EET,08:35 EET,Etihad Airways / Operated by EgyptAir 194,Munich
MSC 8084,Aswan,https://www.flightstats.com/v2/flight-tracker/MSC/8084?year=2021&month=9&date=16&flightId=1070752336,07:30 EET,07:35 EET,08:30 EET,08:35 EET,Air Cairo / Operated by EgyptAir 194,ASW
MS 2661,ASW,https://www.flightstats.com/v2/flight-tracker/MS/2661?year=2021&month=9&date=16&flightId=1070752434,07:30 EET,08:25 EET,10:40 +03,10:46 +03,EgyptAir,Aswan
MS 885,Aswan,https://www.flightstats.com/v2/flight-tracker/MS/885?year=2021&month=9&date=16&flightId=1070752555,08:00 EET,08:20 EET,11:05 WAT,-- ,EgyptAir,ASW
EY 4936,ASW,https://www.flightstats.com/v2/flight-tracker/EY/4936?year=2021&month=9&date=16&flightId=1070752555,08:00 EET,08:20 EET,11:05 WAT,-- ,Etihad Airways / Operated by EgyptAir 885,Aswan
MS 2681,Aswan,https://www.flightstats.com/v2/flight-tracker/MS/2681?year=2021&month=9&date=16&flightId=1070752437,08:00 EET,08:00 EET,11:40 +03,11:28 +03,EgyptAir,ASW
MS 875,KWI,https://www.flightstats.com/v2/flight-tracker/MS/875?year=2021&month=9&date=16&flightId=1070752542,08:05 EET,08:15 EET,13:00 WAT,12:56 WAT,EgyptAir,Aswan
MS 847,CMN,https://www.flightstats.com/v2/flight-tracker/MS/847?year=2021&month=9&date=15&flightId=1070665531,,,,,,
MS 881,ACC,https://www.flightstats.com/v2/flight-tracker/MS/881?year=2021&month=9&date=15&flightId=1070665449,,,,,,
EY 4967,ACC,https://www.flightstats.com/v2/flight-tracker/EY/4967?year=2021&month=9&date=15&flightId=1070665449,,,,,,
MS 843,TUN,https://www.flightstats.com/v2/flight-tracker/MS/843?year=2021&month=9&date=15&flightId=1070665469,,,,,,
MS 2651,RUH,https://www.flightstats.com/v2/flight-tracker/MS/2651?year=2021&month=9&date=15&flightId=1070665342,,,,,,
TK 691,ISL,https://www.flightstats.com/v2/flight-tracker/TK/691?year=2021&month=9&date=15&flightId=1070679133,,,,,,
JU 8251,ISL,https://www.flightstats.com/v2/flight-tracker/JU/8251?year=2021&month=9&date=15&flightId=1070679133,,,,,,
LO 4606,ISL,https://www.flightstats.com/v2/flight-tracker/LO/4606?year=2021&month=9&date=15&flightId=1070679133,,,,,,
MS 9293,,https://www.flightstats.com/v2/flight-tracker/MS/9293?year=2021&month=9&date=15&flightId=1070679133,,,,,,
MS 32,,https://www.flightstats.com/v2/flight-tracker/MS/32?year=2021&month=9&date=15&flightId=1070665487,,,,,,
MSC 8042,,https://www.flightstats.com/v2/flight-tracker/MSC/8042?year=2021&month=9&date=15&flightId=1070665487,,,,,,
MS 935,,https://www.flightstats.com/v2/flight-tracker/MS/935?year=2021&month=9&date=15&flightId=1070665560,,,,,,
MS 747,,https://www.flightstats.com/v2/flight-tracker/MS/747?year=2021&month=9&date=15&flightId=1070665529,,,,,,
A3 1303,,https://www.flightstats.com/v2/flight-tracker/A3/1303?year=2021&month=9&date=15&flightId=1070665529,,,,,,
ET 1461,,https://www.flightstats.com/v2/flight-tracker/ET/1461?year=2021&month=9&date=15&flightId=1070665529,,,,,,
SV 306,,https://www.flightstats.com/v2/flight-tracker/SV/306?year=2021&month=9&date=15&flightId=1070678014,,,,,,
SU 4122,,https://www.flightstats.com/v2/flight-tracker/SU/4122?year=2021&month=9&date=15&flightId=1070678014,,,,,,
MS 777,,https://www.flightstats.com/v2/flight-tracker/MS/777?year=2021&month=9&date=15&flightId=1070665530,,,,,,
TP 7016,,https://www.flightstats.com/v2/flight-tracker/TP/7016?year=2021&month=9&date=15&flightId=1070665530,,,,,,
UA 7717,,https://www.flightstats.com/v2/flight-tracker/UA/7717?year=2021&month=9&date=15&flightId=1070665530,,,,,,
MS 703,,https://www.flightstats.com/v2/flight-tracker/MS/703?year=2021&month=9&date=15&flightId=1070665472,,,,,,
MSC 8059,,https://www.flightstats.com/v2/flight-tracker/MSC/8059?year=2021&month=9&date=15&flightId=1070665472,,,,,,
TP 7006,,https://www.flightstats.com/v2/flight-tracker/TP/7006?year=2021&month=9&date=15&flightId=1070665472,,,,,,
MS 985,,https://www.flightstats.com/v2/flight-tracker/MS/985?year=2021&month=9&date=15&flightId=1070665559,,,,,,
MS 791,,https://www.flightstats.com/v2/flight-tracker/MS/791?year=2021&month=9&date=15&flightId=1070665451,,,,,,
MSC 8065,,https://www.flightstats.com/v2/flight-tracker/MSC/8065?year=2021&month=9&date=15&flightId=1070665451,,,,,,
TP 7000,,https://www.flightstats.com/v2/flight-tracker/TP/7000?year=2021&month=9&date=15&flightId=1070665451,,,,,,
MS 799,,https://www.flightstats.com/v2/flight-tracker/MS/799?year=2021&month=9&date=15&flightId=1070665511,,,,,,
MS 727,,https://www.flightstats.com/v2/flight-tracker/MS/737?year=2021&month=9&date=15&flightId=1070665528,,,,,,
ET 1465,,https://www.flightstats.com/v2/flight-tracker/ET/1465?year=2021&month=9&date=15&flightId=1070665528,,,,,,
PS 9737,,https://www.flightstats.com/v2/flight-tracker/PS/9737?year=2021&month=9&date=15&flightId=1070665528,,,,,,
SQ 6037,,https://www.flightstats.com/v2/flight-tracker/SQ/6037?year=2021&month=9&date=15&flightId=1070665528,,,,,,
TK 4627,,https://www.flightstats.com/v2/flight-tracker/TK/4627?year=2021&month=9&date=15&flightId=1070665528,,,,,,
MS 785,,https://www.flightstats.com/v2/flight-tracker/MS/785?year=2021&month=9&date=15&flightId=1070665493,,,,,,
AC 2847,,https://www.flightstats.com/v2/flight-tracker/AC/2847?year=2021&month=9&date=15&flightId=1070665493,,,,,,
LH 7175,,https://www.flightstats.com/v2/flight-tracker/LH/7175?year=2021&month=9&date=15&flightId=1070665493,,,,,,
TP 7018,,https://www.flightstats.com/v2/flight-tracker/TP/7018?year=2021&month=9&date=15&flightId=1070665493,,,,,,
UA 7719,,https://www.flightstats.com/v2/flight-tracker/UA/7719?year=2021&month=9&date=15&flightId=1070665493,,,,,,
MS 22,,https://www.flightstats.com/v2/flight-tracker/MS/22?year=2021&month=9&date=15&flightId=1070665408,,,,,,
EY 5379,,https://www.flightstats.com/v2/flight-tracker/EY/5379?year=2021&month=9&date=15&flightId=1070665408,,,,,,
MSC 8006,,https://www.flightstats.com/v2/flight-tracker/MSC/8006?year=2021&month=9&date=15&flightId=1070665408,,,,,,
MSC 2463,,https://www.flightstats.com/v2/flight-tracker/MSC/2463?year=2021&month=9&date=15&flightId=1070676517,,,,,,
MS 912,,https://www.flightstats.com/v2/flight-tracker/MS/912?year=2021&month=9&date=15&flightId=1070665516,,,,,,
SQ 6034,,https://www.flightstats.com/v2/flight-tracker/SQ/6034?year=2021&month=9&date=15&flightId=1070665516,,,,,,
MS 2667,,https://www.flightstats.com/v2/flight-tracker/MS/2667?year=2021&month=9&date=15&flightId=1070665508,,,,,,
MS 536,,https://www.flightstats.com/v2/flight-tracker/MS/536?year=2021&month=9&date=15&flightId=1070665432,,,,,,
MS 914,,https://www.flightstats.com/v2/flight-tracker/MS/914?year=2021&month=9&date=15&flightId=1070665574,,,,,,
EY 4903,,https://www.flightstats.com/v2/flight-tracker/EY/4903?year=2021&month=9&date=15&flightId=1070665574,,,,,,
MS 729,,https://www.flightstats.com/v2/flight-tracker/MS/729?year=2021&month=9&date=15&flightId=1070665512,,,,,,
MS 46,,https://www.flightstats.com/v2/flight-tracker/MS/46?year=2021&month=9&date=15&flightId=1070665435,,,,,,
EY 4993,,https://www.flightstats.com/v2/flight-tracker/EY/4993?year=2021&month=9&date=15&flightId=1070665435,,,,,,
MSC 8018,,https://www.flightstats.com/v2/flight-tracker/MSC/8018?year=2021&month=9&date=15&flightId=1070665435,,,,,,
SV 310,,https://www.flightstats.com/v2/flight-tracker/SV/310?year=2021&month=9&date=15&flightId=1070677998,,,,,,
MS 2689,,https://www.flightstats.com/v2/flight-tracker/MS/2689?year=2021&month=9&date=15&flightId=1070665499,,,,,,
SV 300,,https://www.flightstats.com/v2/flight-tracker/SV/300?year=2021&month=9&date=15&flightId=1070677999,,,,,,
NP 191,,https://www.flightstats.com/v2/flight-tracker/NP/191?year=2021&month=9&date=15&flightId=1070668981,,,,,,
PC 7691,,https://www.flightstats.com/v2/flight-tracker/PC/7691?year=2021&month=9&date=15&flightId=1070668981,,,,,,
MS 707,,https://www.flightstats.com/v2/flight-tracker/MS/707?year=2021&month=9&date=15&flightId=1070665527,,,,,,
AC 2854,,https://www.flightstats.com/v2/flight-tracker/AC/2854?year=2021&month=9&date=15&flightId=1070665527,,,,,,
ET 1471,,https://www.flightstats.com/v2/flight-tracker/ET/1471?year=2021&month=9&date=15&flightId=1070665527,,,,,,
AC 75,,https://www.flightstats.com/v2/flight-tracker/AC/75?year=2021&month=9&date=15&flightId=1070629256,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SV/386?year=2021&month=9&date=16&flightId=1070765450,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/WY/408?year=2021&month=9&date=16&flightId=1070781185,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/658?year=2021&month=9&date=16&flightId=1070734016,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/AZ/4106?year=2021&month=9&date=16&flightId=1070734016,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/GA/9123?year=2021&month=9&date=16&flightId=1070734016,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/8066?year=2021&month=9&date=16&flightId=1070734016,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/G9/621?year=2021&month=9&date=16&flightId=1070740151,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/QR/1306?year=2021&month=9&date=16&flightId=1070760594,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/CX/9286?year=2021&month=9&date=16&flightId=1070760594,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/995?year=2021&month=9&date=16&flightId=1070752575,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/NP/1105?year=2021&month=9&date=16&flightId=1070756083,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SV/314?year=2021&month=9&date=16&flightId=1070765393,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/KL/554?year=2021&month=9&date=16&flightId=1070747672,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/DL/9248?year=2021&month=9&date=16&flightId=1070747672,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EK/926?year=2021&month=9&date=16&flightId=1070732704,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/QF/8926?year=2021&month=9&date=16&flightId=1070732704,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/3L*/429?year=2021&month=9&date=16&flightId=1070703667,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/507?year=2021&month=9&date=16&flightId=1070752481,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/LX/239?year=2021&month=9&date=16&flightId=1070751235,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/9270?year=2021&month=9&date=16&flightId=1070751235,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SV/308?year=2021&month=9&date=16&flightId=1070765381,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/A3/1978?year=2021&month=9&date=16&flightId=1070733153,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/9462?year=2021&month=9&date=16&flightId=1070733153,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/PS/9639?year=2021&month=9&date=16&flightId=1070733153,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/TK/693?year=2021&month=9&date=16&flightId=1070766685,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/9291?year=2021&month=9&date=16&flightId=1070766685,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/517?year=2021&month=9&date=16&flightId=1070752483,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/A3/931?year=2021&month=9&date=16&flightId=1070708992,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/ET/1805?year=2021&month=9&date=16&flightId=1070708992,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/9231?year=2021&month=9&date=16&flightId=1070708992,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/KU/544?year=2021&month=9&date=16&flightId=1070748175,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/IA/148?year=2021&month=9&date=17&flightId=1070834669,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EK/924?year=2021&month=9&date=17&flightId=1070822940,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MK/9929?year=2021&month=9&date=17&flightId=1070822940,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/QF/8924?year=2021&month=9&date=17&flightId=1070822940,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SV/302?year=2021&month=9&date=17&flightId=1070857291,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/28?year=2021&month=9&date=17&flightId=1070843807,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/A3/1317?year=2021&month=9&date=17&flightId=1070843807,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/AC/2888?year=2021&month=9&date=17&flightId=1070843807,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/4918?year=2021&month=9&date=17&flightId=1070843807,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/729?year=2021&month=9&date=13&flightId=1070498502,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/NP/53?year=2021&month=9&date=13&flightId=1070502077,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/46?year=2021&month=9&date=13&flightId=1070498525,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/4993?year=2021&month=9&date=13&flightId=1070498525,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MSC/8018?year=2021&month=9&date=13&flightId=1070498525,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SV/310?year=2021&month=9&date=13&flightId=1070511024,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/2689?year=2021&month=9&date=13&flightId=1070498487,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SV/300?year=2021&month=9&date=13&flightId=1070511023,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/NP/1127?year=2021&month=9&date=13&flightId=1070502075,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/NP/191?year=2021&month=9&date=13&flightId=1070502012,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/PC/7691?year=2021&month=9&date=13&flightId=1070502012,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/RBG/363?year=2021&month=9&date=17&flightId=1070822511,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/48?year=2021&month=9&date=17&flightId=1070843808,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/A3/1308?year=2021&month=9&date=17&flightId=1070843808,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/AC/2884?year=2021&month=9&date=17&flightId=1070843808,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/LH/7178?year=2021&month=9&date=17&flightId=1070843808,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MSC/8020?year=2021&month=9&date=17&flightId=1070843808,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/86?year=2021&month=9&date=17&flightId=1070843939,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/A3/1305?year=2021&month=9&date=17&flightId=1070843939,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/AC/2896?year=2021&month=9&date=17&flightId=1070843939,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/4970?year=2021&month=9&date=17&flightId=1070843939,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MSC/8038?year=2021&month=9&date=17&flightId=1070843939,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/WY/406?year=2021&month=9&date=17&flightId=1070873716,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/RBG/1337?year=2021&month=9&date=17&flightId=1070822447,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SV/3334?year=2021&month=9&date=17&flightId=1070857270,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/2669?year=2021&month=9&date=17&flightId=1070843855,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/NP/1107?year=2021&month=9&date=17&flightId=1070847712,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/TP/7016?year=2021&month=9&date=13&flightId=1070498641,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/UA/7717?year=2021&month=9&date=13&flightId=1070498641,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/703?year=2021&month=9&date=13&flightId=1070498536,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MSC/8059?year=2021&month=9&date=13&flightId=1070498536,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/TP/7006?year=2021&month=9&date=13&flightId=1070498536,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/985?year=2021&month=9&date=13&flightId=1070498575,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/799?year=2021&month=9&date=13&flightId=1070498586,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/791?year=2021&month=9&date=13&flightId=1070498646,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MSC/8065?year=2021&month=9&date=13&flightId=1070498646,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/TP/7000?year=2021&month=9&date=13&flightId=1070498646,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/737?year=2021&month=9&date=13&flightId=1070498638,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/ET/1465?year=2021&month=9&date=13&flightId=1070498638,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/KQ/4707?year=2021&month=9&date=13&flightId=1070498638,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/PS/9737?year=2021&month=9&date=13&flightId=1070498638,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SQ/6037?year=2021&month=9&date=13&flightId=1070498638,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/TK/4627?year=2021&month=9&date=13&flightId=1070498638,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/757?year=2021&month=9&date=13&flightId=1070498640,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/TP/7011?year=2021&month=9&date=13&flightId=1070498640,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/785?year=2021&month=9&date=13&flightId=1070498569,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/AC/2847?year=2021&month=9&date=13&flightId=1070498569,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/TP/7018?year=2021&month=9&date=13&flightId=1070498569,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/LH/7175?year=2021&month=9&date=13&flightId=1070498569,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/UA/7719?year=2021&month=9&date=13&flightId=1070498569,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/22?year=2021&month=9&date=13&flightId=1070498494,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/5379?year=2021&month=9&date=13&flightId=1070498494,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/5379?year=2021&month=9&date=13&flightId=1070498494,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MSC/8006?year=2021&month=9&date=13&flightId=1070498494,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SA/7180?year=2021&month=9&date=13&flightId=1070498494,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/759?year=2021&month=9&date=13&flightId=1070556728,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/2667?year=2021&month=9&date=13&flightId=1070498534,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/912?year=2021&month=9&date=13&flightId=1070498595,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SQ/6034?year=2021&month=9&date=13&flightId=1070498595,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/914?year=2021&month=9&date=13&flightId=1070498572,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/4903?year=2021&month=9&date=13&flightId=1070498572,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/82?year=2021&month=9&date=13&flightId=1070498587,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/4968?year=2021&month=9&date=13&flightId=1070498587,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MSC/8034?year=2021&month=9&date=13&flightId=1070498587,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/44?year=2021&month=9&date=13&flightId=1070498465,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/4992?year=2021&month=9&date=13&flightId=1070498465,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/LH/7180?year=2021&month=9&date=13&flightId=1070498465,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MSC/8016?year=2021&month=9&date=13&flightId=1070498465,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/2661?year=2021&month=9&date=13&flightId=1070787136,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/637?year=2021&month=9&date=13&flightId=1070498547,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/147?year=2021&month=9&date=13&flightId=1070787110,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/2681?year=2021&month=9&date=13&flightId=1070498553,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/847?year=2021&month=9&date=13&flightId=1070498644,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/160?year=2021&month=9&date=13&flightId=1070498509,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MSC/8050?year=2021&month=9&date=13&flightId=1070498509,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/881?year=2021&month=9&date=13&flightId=1070498648,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/4967?year=2021&month=9&date=13&flightId=1070498648,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/64?year=2021&month=9&date=13&flightId=1070498467,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/4916?year=2021&month=9&date=13&flightId=1070498467,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MSC/8026?year=2021&month=9&date=13&flightId=1070498467,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SA/7178?year=2021&month=9&date=13&flightId=1070498467,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/843?year=2021&month=9&date=13&flightId=1070498631,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/2651?year=2021&month=9&date=13&flightId=1070498552,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/TK/691?year=2021&month=9&date=13&flightId=1070512116,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/JU/8251?year=2021&month=9&date=13&flightId=1070512116,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/LO/4606?year=2021&month=9&date=13&flightId=1070512116,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/9293?year=2021&month=9&date=13&flightId=1070512116,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/935?year=2021&month=9&date=13&flightId=1070498574,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/747?year=2021&month=9&date=13&flightId=1070498642,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/A3/1303?year=2021&month=9&date=13&flightId=1070498642,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/ET/1461?year=2021&month=9&date=13&flightId=1070498642,,,,,,
